Hypothesis,Reference
"Тем не менее , есть признаки того , что европейская машина до сих пор довольно успешно справляется с без конституции .",О
"В результате , результатом может стать де - факто смена региональных стратегических партнеров США – развитие , которое в действительности уже становится очевидным в борьбе против Исламского государства в Ираке .",Т
"Теперь мы знаем , что макроэкономические модели не подходят надлежащим образом для слабых мест финансовых рынков и что исправлять модели , сохранив их – это огромная задача .",Т
"Поэтому он недавно свою риторику , , что давление на еврозону не должно быть « чрезмерно ».",П
"Если бы не факты и обязательства , , могут стать убеждены в том , что ЕС заинтересован только в расширении Европы « » типа .",Е
"по ПРО ( ПРО ) договор с бывшим Советским Союзом , оборону , был отменен .",Д
"Дефицит бюджета сейчас является крупнейшим в ЕС , и государственный долг быстро увеличился , поскольку правительство изо всех сил пытается компенсировать резкое падение доходов .",Б
Возвращение к стратегии холодной войны явно не в интересах Запада .,О
"КОПЕНГАГЕН . десятилетие неоднократно , что женщин во всем мире полномочиями является ключом к решению многих , казалось бы , проблем , которые в противном случае поставили бы политиков в безвыходное положение .",К
НЬЮ - ЙОРК . Практически во всех частях мира долгосрочные проблемы могут быть решены с более сотрудничеством между соседними странами .,Н
"Тот факт , что Ахмадинежад для того , чтобы выступить в качестве своего второго срока – исход , который СМИ часто сомневались – отражает важность Хаменеи для поддержания имиджа стабильного Ирана .",Т
"В совокупности , патентов , развивающимися странами и ( пост - коммунистическими ) экономиками в 1998 году , до менее чем 1 % от общего количества патентов в США в прошлом году .",В
"Кризисы правительственной , как в Нигерии , так и в Индонезии , в больших ожиданий .",К
"Это , конечно , делает жизнь лидеров более трудными .",Э
"Сочетание сексуальности и конфиденциальности имеет , влияние на граждан .",С
"в мире стала результатом заголовки мировых новостей , но кризис там существует только одна из гораздо более крупных катастроф .",С
"даже в государственных учреждениях , таких как ( 90 %) и ( 63 %).",В
исследования Европейского научного фонда « Вперед к европейскому по продовольственной системе » могут оказаться полезным в разработке политики ЕС по широкому .,В
"В Бахрейне и приходят ум приходят , и Бахрейна приходят к ум ум приходят , и .",Н
Без защиты африканские фермеры снова будут импортом .,Н
Это по - прежнему мой стиль в Организации Объединенных Наций .,Я
Фокс к этому обещанию своему выбору кабинета министров .,Ф
"Многие исламистские будут , как это происходит с правительствами , которые тяжело .",М
"Особенно для « » рынков , где компании используют более ранние инвестиции , чтобы гарантировать въезд в другие места , это означает , что задержки , вызванные ограничениями регулирования , могут иметь более глубокое негативное воздействие , предотвращая потенциально успешные компании выйти на рынок .",О
"Как и старые каудильо , они представительство своих сторонников в себе .",К
Требования о более инвестиционной стратегии роста .,У
этих учреждений является первым шагом к решению текущих проблем мировой экономики .,У
!,У
"Кроме того , существует растущее недоверие к политикам , которые не выполняют обещаний остановить иммиграцию , восприятием иммигрантов в качестве , а не людей , а также плохим обращением к беженцам , целью которых является сдерживание людей , желающих работать с помощью перевода убежища .",П
"Мы считаем , что Грузия должна преследовать свои собственные интересы , которые могут поделиться с Европой , Россией или США , но , тем не менее , являются нашими собственными .",М
"Если один из основных игроков в экономические беспорядки , национализм уменьшит возможности для переговоров .",Е
Но была не просто ; она также внесла свой вклад в Европы материал и культурное богатство .,Н
"И увеличение доли процентных ставок по государственным облигациям также не предвещает ничего хорошего , так как это быстро приведет к давлению дальнейших сокращений расходов .",И
"Для политических лидеров « Б » в случае , если необходимо , по поводу быстрых мер по устранению кризиса сбережений и кредитов в начале 1990 - х годов , наряду с продажи « токсичных активов » в крупных ( чтобы предотвратить так называемый « выбор » от надвигающегося процесса ).",В
"Один из таких последствий заключается в том , что развивающиеся страны должны заменить действительные промышленные стратегии теми , кто работает с помощью обменного курса .",О
"Если страны - не будут в месте механизмы регулирования , чтобы справиться с стремительно революцией в сфере обслуживания рабочих мест , отрицательная реакция на подобные иностранные прямые иностранные инвестиции станет неизбежной .",Е
"Но , как всегда , более взгляд на то , что он предлагает , наводит на мысль о другой рук его администрации .",Н
"Япония своим игнорировать запросы Китая к о , даже если они просто новую зону и не к воздушное пространство Китая .",Я
Уже существуют основные формы такой схемы .,Б
"Поэтому , подождать и посмотреть , будет ли это стратегия .",З
результат в обоих местах находится в пределах досягаемости .,У
"Сколько бы их директоров не хотели внимания на болезни , которые убивают самых людей , нынешняя система финансовых стимулов означает , что если бы они это сделали , их держатели бы их или их компании вскоре будут вне бизнеса .",В
"Мы видим , что этот пример происходит из - за рынков , чтобы оценить разницу в предполагаемой будущей прибыльности фирм , имеющих хорошее и плохое управление ( с точки зрения их уровней защиты против поглощения ).",М
"Сколько мы должны позволить повышение температуры , так это , как много людей должны умереть во время торговых катастроф с помощью приведения к ограничений .",П
"Подобным образом , любые расходы на Конгресс США , на это падение , не будут иметь существенного эффекта на правительственные расходы до лета и осенью 2004 года .",А
"Отношения с Египтом и Иорданией также будут затронуты , и надежды на сотрудничество с умеренным арабским окажутся .",О
Отношения ЕС с Сербией в прошлом лишь .,О
"фермеры должны получать семена , удобрения и оборудование ( такие как для орошения ).",Р
"Президент Суда , Жан - Поль Коста , выразил аналогичное мнение , не ставя под сомнение легитимность решения , хотя судья написал мнение .",П
"Все эти проблемы имеют решения , по крайней мере , в кратковременной перспективе .",В
"Если Китай , во имя национального суверенитета , не в международную систему , становится трудно утверждать , что эта система существует .",Е
"Так как же мы лучше всего то , что нам известно и способствует развитию самобытности наших местных районов и регионов , пользуясь своего рода изменениями , которые делают большинство из нас более ?",И
"политика доллара является экономическим национализмом , с эрой глобализации .",П
"Они являются одними из самых бедных в мире – теми , кто за кого платят за изменение климата и им туда , где они хотят и чтобы им .",И
вооруженных сил держат некоторых из своих жертв на протяжении многих лет .,П
"Таким образом , различные европейские социальные модели были , в среднем , весьма – скорее всего , из - за отсутствия плана от Брюсселя о том , как реагировать на глобализацию .&# 160 ;",Р
С тех пор этот индекс вырос свыше 10 000 .,С
"С другой стороны , создание слишком высоких стандартов , также будет .",С
Эта напряженность ведет к компромиссам .,Э
"страхования может показаться реакцией на цунами , но это является рациональным и мощным ‑ ответом .",П
"Если это возможно , потому что первоначальные страны большую часть шести мест в совете за собой , общественное мнение в Европе – более широкое , чем немецкий , и итальянский мнение – могут обернуться против ЕЦБ .",Е
Но остается мало новой секьюритизации и банковских долгов без правительственной поддержки .,Н
"Например , НАТО развивается с союза Холодной войны , исключительно Европе , чтобы принять решение сегодняшних проблем безопасности , где бы они ни возникли , как , например , в Афганистане и , возможно , Ираке .",Н
"Для этого существует несколько причин , и мы должны понять их , чтобы разорвать сегодняшнее тупик .",Н
"По иронии судьбы , его выживание президенту Джорджу Бушу , который не мог вспомнить имя пакистанского лидера во время президентских выборов в США .",П
"Очень важно рассмотреть , что мы можем отменить глобальное потепление этого века с 1900 в воздухе , чтобы облака .",С
"Так что я говорю : если евро падет , Европа терпит неудачу .",П
"На самом деле , нет единого , объяснения постоянным Америки в адрес его приверженности Израилю и чрезвычайно , который в Соединенных Штатах имел в Соединенных Штатах .",Ф
"Но помимо такого , желание преодолеть должно быть больше , чем просто суммой национальных .",О
"Иранские реформаторы не смогли с момента победы Мохаммеда Хатами на 1997 год , чтобы изменить систему изнутри .",И
Но эти сбережения что - то очень важное .,Н
"Посредством регулирования и директив , банков , страховых компаний и пенсионных фондов вынуждены нести гораздо большую часть государственного долга , чем они могут выбрать .",В
Но их положение нельзя отделить от самих греков .,Н
"можно построить для гораздо большего количества технологий , и бензин .",А
"Но вводит в заблуждение , когда чиновники простые , если не , политические предложения как основу для надежды , что мы сможем избежать продолжительного периода трудного экономического регулирования .",О
Я это .,Н
"Только одна страна , из которой , возможно , из ЕС в 2013 году , и приняла участие в присоединении Турции .",Д
в Европе в в Европе,Е
Чэнь – и – выступил в 2005 году с некоторых женщин в его родном городе Линьи .,Ч
"Они организации и получали большие привлекательную материал , но не ответили на основные вопросы : что делать благотворительные организации с деньгами , и какие свидетельства имеют , что их работа помогает ?",О
"Будет ли EFSF погашать греческий долг по ценам , или он будет предоставлять страхование текущим держателям облигаций ?",Б
"Наконец , сам процесс расширения также явно представляет собой символ социального , гражданского и культурного единства Европы .",Н
"К сожалению , такие примеры международного сотрудничества столь же редки , как и .",К
"Тем не менее , рейтинги одобрения Пэйлин показывают , что , в то время как такие женщины к , они не являются .",К
"В глобальном масштабе ни США , ни Япония не могут обеспечить значительные внешние стимулы .",В
"Помните , что люди , которые когда - то думали , что продажа над Интернетом была бизнес - стратегией , и что к 2010 году сможет продать два мобильных телефона в год всем жителям северного полушария .",Н
"Первый компонент - классический запрет Французской Республики на сбор данных в официальной переписи – государственных агентств или государственных или частных предприятиях – на этнической основе , религии и даже социальный класс .",П
Она может не оставаться таким без твердой руки в центре .,Н
"В 1992 году он военной базой в деревне , где – и где и работали вместе .",В
"Когда нанес удар по Западу , СССР должным образом поддержал Германию в войне против Польши , Франции , Бельгии , Нидерландов , Люксембурга , Дании , Норвегии и Великобритании .",К
"часть меньшей силы может означать немного меньше беспокойства по поводу американизации , меньшее количество жалоб по поводу американской и меньшее напряжение в реакции .",Э
"Страна с профицитом текущего счета и счета капитала , а также с увеличением валютных резервов , обычно видит в чрезмерном количестве денежной массы и высокой инфляции .",С
Но не будет ли эта потеря большей солидарности в случае кризиса ?,О
ли Америка ?,А
"Будем надеяться , что сегодняшние экономисты также чему - то их нежелательные .",Д
"Были некоторые сотрудничество по общим проблемам , таким как наркотики и .",И
Ответ на эти тревожные события – это не ностальгия .,О
"В 1993 году президент России приказал своим открыть огонь по собственному парламенту , объясняя это необходимостью предотвратить угрозу демократии .",В
"- В конце холодной войны НАТО себя как сеть стабильности для всех стран зоны евро - атлантического сообщества , включая новые демократии Восточной Европы .",–
"доходы почти полностью , поскольку и борьба за то , что делают персонал , делают это .",О
"К сожалению , вкладчики научились чему - то .",К
"Это также означает , что у Германии и ЕЦБ меньше власти , чем они полагают .",Э
"Это не только потому , что он был готов вести Францию , от Кавказа до Ближнего Востока , во имя Европы и самой , когда Америка своей роли .",Э
"Мы , конечно , также слышали некоторые новые : беспрецедентные пузыри недвижимости , глобальное перенасыщение сбережений , международные торговые дисбалансы , финансовые контракты , ипотеки , на рынках , ошибки агентств , ошибки рейтинговых агентств , недвижимости и относительно рисков разделения собственности .",М
"В этой свободе внезапно секреты разрушили семьи и дружбу и общее чувство ; это социальную стабильность , как или .",В
миграция сильно повредит уже натянутые социальные отношения в некоторых странах и приведет к непредсказуемым последствиям .,Т
"Как могут граждане Европы на самом деле с Европой , если « нет » Европе « нет » ее « единой Европы »?",К
"Когда Бо в суде , его не будут столь убедительными .",К
Не может полагаться на политиков !»,В
Сегодня у Запада нет рычагов для поощрения этих условий .,В
"Вместо этого , ученым приходится использовать « естественные эксперименты », в которых риски уже произошли .",В
Но не все будут с равной способностью делать обоснованные моральные и политические суждения .,Н
Война против законов войны с миром,В
"Более того , по мере того как войска США снизили свой профиль , насилие все больше .",К
В марте ведущая британская газета « News of the World » опубликовала « » на первой странице « 5 ».,В
"К сожалению , это , похоже , еще один случай неуверенности Америки в том , что ее глобальное влияние свою риторику – на этот раз , возможно , подрывая важную возможность для укрепления развивающихся экономик Азии .",К
"Германия была поражением в первой мировой войне , мира в 1919 году , гиперинфляции в 1920 - х годах и Великая Депрессия 1930 - х годов , но в противном случае была уникально .",Г
"Слишком многие члены просто ведут себя так , будто не было Пакта о стабильности и экономическом росте .",Д
"Остальной мир деньги в США , что , похоже , было одним из больших свободных .",О
"Хотя доллар в течение года , продолжающийся рост внутреннего спроса , вероятно , дефицит текущего платежного баланса на уровне выше 5 % ВВП .",И
Однако клиенты были в значительной степени .,Р
"многие африканские инициативы , и , к сожалению , основные промышленные страны и международные организации часто это кредитование , им планы , они не имеют намерения оказать помощь в помощи с помощью практических .",В
"В определенных интеллектуальных кругах стало модным считать признаком лучшего образования , более цивилизации , просвещения .",В
"В Соединенных Штатах последние исследования двух университетских профессоров показали , что более 25 % компаний , решения , на долю опционов , на акции и услуги . Комиссия по ценным бумагам и биржевым операциям США ( SEC ) и , по - видимому , решили бороться с практикой « », которая особенно в Силиконовой долине .",Н
"Россия утверждала , что настойчивость Америки в отношении немедленного смещения Асада является препятствием для мира .",Р
"Мы можем считать , что пациент принимает неправильное решение , но мы должны уважать его или ее право на это .",Н
. День еврооблигаций может быть рядом .,С
Европейские дипломаты должны оценить последствия режима Кастро .,Е
"Политика в отношении мусульман , Российской империей , в целом , этнические и религиозные общины .",П
Является ли восстановление фондового рынка еще одним на рынке или началом ?,Я
"Кое - что из того , что нужно сделать , включая меры по реконструкции , теперь лучше , если не будут поняты , не в последнюю очередь из - за опыта в восстановлении Боснии , Колумбии и других войной государств .",К
"В результате нечто новое привычки тех , кто управляет Украиной с настоящего момента : уважение к людям , что является основным средством контроля над применением силы .",В
"Как и , знали с самого начала в своем , что они хотели достичь лучших , и лучшим способом это сделать , они решили , было вместе .",П
", хотя китайцы и вступят в состав военного вмешательства наподобие военного вмешательства США , к которому мир в последние годы .",Н
"– Чуть больше двадцати лет назад уже , когда открыл мир , , . . описал это как .",Д
"До тех пор , пока Китай не решит , что он получит больше выгоды от более законного правительства в Бирме , чем он делает в случае нынешнего военного режима , мало что может случиться .",Д
"Еврозона оказалась в эпицентре этой силы , мировой экономический рост .",Е
"Оглядываясь назад , Комитет , вероятно , должен был отказаться от примера , учитывая , что книга была подвержена сильному государственному , часто экспертами , ( ) в газете Economist и ( ) в американском .",В
"Поэтому израильская стратегия поддержания мира между двумя взглядами : в то время как левые Израиля ставят перед палестинской проблемой , право Израиля на достижение урегулирования конфликта с крупными арабскими государствами .",П
"Но они разделяют одно понимание : есть глубокое желание создать сообщества , общими ценностями , а не потребностями .",Н
"Таким образом , ослабление военной силы всегда было необходимым условием достижения политического урегулирования с Шри - Ланки .",Т
"Тот факт , что две трети избирателей поддержали партии , которые долгое время считались экстремистскими и чья приверженность демократии под вопросом , многих турок , включая тех , кто в последнее время входил в правящую элиту .",Т
"Действительно , воздействие человеческого поведения на экосистемы планеты стало столь существенным в течение последних нескольких столетий , что многие ученые сегодня считают , что планета вошла в новую век , .",Н
"Но в обоих случаях вероятности оказались , и их совместное возникновение привело к катастрофе .",Н
"За последние 15 лет Индия большее количество людей из бедности , чем за предыдущие 45 – 10 миллионов человек в год в среднем за последнее десятилетие .",З
"профсоюзов уже 200 000 членов профсоюзов присоединились к оппозиции , и предложения еще больше будут использовать массовый национализм .",Ф
"В Латинской Америке единственный прорыв , который после обретения независимости европейскими , был связан с черным свободы и , который регион до того , как быть в изгнание на .",В
"Действительно , фундаментальный урок террористических актов и , как мы знаем , что ни одна страна , ни , не может позволить себе оставаться в том , не ли другие или .",И
"Япония и Япония , похоже , принимают меры к улучшению отношений , после периода высокой напряженности .",К
В сегодняшнем климате можно было бы вспомнить знаменитый случай ненависти в США .,Б
"социальной политики должны смотреть не только на управление Канадой , но и на государства всеобщего благосостояния Северной Европы .",С
"Их реальная власть , несмотря на усилия генерального секретаря ООН Кофи Аннана наладить диалог с ними , находится вне рамок ООН .",И
"Более того , переход требует инвестиций в человеческий капитал , который часто не может себе позволить .",Б
"В 2005 году гораздо более высокий процент , чем в 2000 году , определял себя « как « Иран , прежде всего », чем « мусульманин , прежде всего , чем все ».",В
"Вместо того , чтобы вкладывать деньги в разведку нефти , Газпром стал самой большой группой СМИ в России .",В
"Цены на продовольствие также достигли исторических высот , что способствует бедности и политическим .",Ц
"Ближний Восток ресурсы и энергию Америки , но результаты отчаянно малы .",Б
"Некоторые аналитики надеялись , что в прошлом году цунами и ядерная катастрофа приведут к созданию третьего плана по национальному , но это еще не произошло .",Н
"Решение МВФ было в ответ на провал пакистанского правительства предпринять обещанные шаги по увеличению своего соотношения налогов и ВВП , составляющего менее 10 %, одно из самых низких уровней в развивающихся странах .",Р
"Даже когда американцы о убийстве бен Ладена , американское правительство должно признать , что его политика в Пакистане непреднамеренно сделала главной целью страны в мире террористических .",Д
"Если экономика быстрее , чем я , расходы можно будет отменить .",Е
"Такие масштабы необходимы перехода , которые не являются ни современная макроэкономическая наука , ни Международный валютный фонд почти 50 лет опыта , не были предложены большие рекомендации .",М
"Опираясь на перспективы примерно 900 экспертов и лиц , принимающих решения во всем мире , которые принимают участие в исследования , в этом году , в первый раз в своей истории , экономические риски вызывают и геополитические проблемы .",О
"лет назад он произнес свое призыв к сопротивлению на BBC после в Лондон из Франции , как это было во время в июне 1940 .",С
"Однако Меркель одобрила проект « » Северной Европы ( ) под дну Балтийского моря , переговоры между ее предшественником Герхард Шредер и президентом Владимиром Путиным и сильно от него - члена ЕС , который трубопровод .",О
"Те , кто Чавеса , часто делают это во имя « Вашингтонского консенсуса », т . е . такого рода капитализма и демократии , который практически по всему континенту в 1980 - х и 1990 - х гг .",Т
За последние три с половиной года экономика должна была создать около 4 - 6 млн . рабочих мест для предоставления новых рабочих мест в рабочую силу .,З
"Вопрос заключается в том , как произвести новые лекарственные препараты , которые – поскольку пациентов слишком мало или слишком бедны – прибыль , и это приводит к очень ограниченной прибыли .",В
"и народы способны к трудностями , если есть ощущение , что будущее будет лучше , а конфликты будут решены .",Л
"Но нет необходимости , чтобы человеческие люди требовали , чтобы мы могли убить китов .",Н
"Для этого необходимы работники с хорошим образованием , сильной рабочей силы и поддержало инфраструктуру .",Э
Риск дефолта или реструктуризации долга заставляет кредиторов быть более осторожными в своих решений .,Р
Создание оптимального регулирования должно учитывать интенсивность конкуренции в различных банковских .,М
"Это особенно верно , когда есть шанс спасти или заработать деньги .",Э
"Действительно , палата российской Думы в начале этого года приняла решение , которое было 2 сентября после окончания второй мировой войны , фактически делая его днём празднования победы Советского Союза над Японией – и таким образом , попытки помешать заявлениям Японии о том , что оккупация островов произошла после окончания второй мировой войны .",Д
"В декабре Международный валютный фонд будет считать женьминьби к корзине валют , которые составляют Фонда , известные как Специальные права заимствования , наряду с долларом США , евро , и японской .",В
"Политическая апатия отражает множество факторов , но два из них .",П
"С учетом того , что количество американцев будет давать помощь в Гаити , возможно , $ 1 , 9 миллиардов , которые они предоставили , чтобы помочь жертвам цунами в Азии 2004 году , которое до сих пор не как , цунами за пределами США .",П
"Россия начала 2006 года года в год своего председательства в « Большой », войну с Украиной .",В
"Но обстоятельства , которые ведут к крайней бедности , не за исключением редких случаев , в соответствии с контролем таких бедных людей .",Н
система также нуждается в « ».,С
"Мы хотим , чтобы человек , который заставил других страдать , страдал , предпочтительно в равной степени .",М
"Основной урок , из этого кризиса , заключается в поддержании крупных валютных резервов .",Г
"БРЮССЕЛЬ – 8 сентября , после четырех лет переговоров , представители Соединенных Штатов и Европейского Союза трансатлантическое соглашение о усилении защиты данных .",Б
"слишком много для создания абсолютного , универсального принципа .",С
"обсуждения банков , которые слишком большие , чтобы им можно было позволить обанкротиться .",С
"главных торговцев наркотиками за в новую тюрьме по вопросам безопасности , которая находится в - то недалеко от Кабула , было бы хорошим началом .",П
"В свободных странах каждый гражданин имеет право сказать , что хочет , верить в то , что хочет , критиковать и то , что хочет – писать , , или любой другой формы мирного выражения .",В
"Действительно , успех Европы отчасти объясняется его поддержкой ряда ценностей , которые , хотя и по сути являются европейскими , в то же время являются глобальными .",В
!,Р
Логика Запада в отношении расширения была геополитической : создать бывшие советские республики и социалистические государства Центральной и Восточной Европы в сферу западного политического и экономического влияния .,Л
"Единая валюта означает единую кредитно - денежную политику и единый процентную ставку , даже если экономические условия – особенно условия – в основном , сильно отличаются от стран - членов Европейского экономического и валютного союза ( EMU ).",Е
"Такие ценности обязаны своим « » Конфуция , и , которые существовал до того , как стал в качестве государственной ортодоксальности .",Т
также помогает продвигать приверженность общих ценностях .,Т
"Многие считают континент , бедностью , войной , , коррупцией и .",М
